ID,meter_point_key,park_key,park_type,park_type_human,Round_Day(markets_at),contract_at,Round_Day(expires_at),Leistung [W],ownconsumption,latitude,longitude,Performance
702,ZP_ID_1038,TEN_SO_Rabenau-Londorf_DE010091,solar,Photovoltaikanlage,2020-06-01T00:00:00,2018-08-30 02:00:00,,148500,0.7,50.68,8.85,0.0
703,ZP_ID_0814,TEN_SO_Rastede_DE015032,solar,Photovoltaikanlage,2019-05-10T00:00:00,2018-08-30 02:00:00,,133920,0.7,53.25,8.19,0.0
704,ZP_ID_0664,TEN_SO_Ratzeburg_DE016037,solar,Photovoltaikanlage,2018-10-01T00:00:00,2018-08-30 02:00:00,,144720,0.7,53.69,10.8,0.0
705,ZP_ID_0566,TEN_SO_Rehburg-Loccum_DE018056,solar,Photovoltaikanlage,2018-10-01T00:00:00,2018-08-30 02:00:00,,138320,0.7,52.46,9.15,0.0
1996,ZP_ID_1948,TEN_SO_Rendsburg,solar,Photovoltaikanlage,2023-05-01T00:00:00,2023-05-01 02:00:00,,134750,0.8,54.31,9.65,0.0
1410,ZP_ID_1509,TEN_SO_Rhauderfehn_(RD),solar,Photovoltaikanlage,2021-10-01T00:00:00,,,227160,,53.14,7.56,0.0
1428,ZP_ID_1532,TEN_SO_Rhauderfehn_01_(RD),solar,Photovoltaikanlage,2021-10-01T00:00:00,,2023-03-31T00:00:00,499200,,53.14,7.56,0.0
706,ZP_ID_0670,TEN_SO_Rhauderfehn_DE015031,solar,Photovoltaikanlage,2018-11-01T00:00:00,2018-08-30 02:00:00,,116100,0.7,53.14,7.57,0.0
2003,ZP_ID_1957,TEN_SO_Rinteln,solar,Photovoltaikanlage,2023-04-01T00:00:00,2023-04-01 02:00:00,,501000,0.6,52.16,9.07,0.0
707,ZP_ID_0606,TEN_SO_Ritterhude_DE007076,solar,Photovoltaikanlage,2018-10-01T00:00:00,2018-08-30 02:00:00,,103040,0.7,53.18,8.76,0.0
1158,ZP_ID_1319,TEN_SO_Rosbach_01_(RD),solar,Photovoltaikanlage,2021-10-01T00:00:00,,,214500,,50.27,8.69,0.0
1159,ZP_ID_1353,TEN_SO_Rosbach_02_(RD),solar,Photovoltaikanlage,2021-10-01T00:00:00,,,101400,,50.27,8.69,0.0
708,ZP_ID_0496,TEN_SO_Sachsenhagen,solar,Photovoltaikanlage,2018-03-01T00:00:00,2017-10-16 02:00:00,,313200,,52.39,9.27,0.0
709,ZP_ID_0633,TEN_SO_Salzgitter Thiede_DE014035,solar,Photovoltaikanlage,2018-10-01T00:00:00,2018-08-30 02:00:00,,117600,0.7,52.19,10.46,0.0
710,ZP_ID_0934,TEN_SO_Salzgitter_DE014000,solar,Photovoltaikanlage,2019-12-06T00:00:00,2018-08-30 02:00:00,,422840,0.7,52.06,10.39,0.0
711,ZP_ID_0957,TEN_SO_Salzgitter_DE014012,solar,Photovoltaikanlage,2019-12-01T00:00:00,2018-08-30 02:00:00,,164920,0.7,52.05,10.38,0.0
1786,ZP_ID_1893,TEN_SO_Salzgitter_DE014037,solar,Photovoltaikanlage,2023-02-01T00:00:00,2018-10-01 02:00:00,,168720,0.7,52.15,10.32,0.0
1684,ZP_ID_1718,TEN_SO_Salzhemmendorf_DE018061_(RD),solar,Photovoltaikanlage,2022-03-01T00:00:00,,,108630,,52.07,9.58,0.0
1675,ZP_ID_1716,TEN_SO_Sandesneben_DE016058_(RD),solar,Photovoltaikanlage,2022-03-01T00:00:00,,,110670,,53.69,10.5,0.0
1406,ZP_ID_1515,TEN_SO_Saterland_(RD),solar,Photovoltaikanlage,2021-10-01T00:00:00,,,119860,,53.12,7.69,0.0
1412,ZP_ID_1533,TEN_SO_Saterland_01_(RD),solar,Photovoltaikanlage,2021-10-01T00:00:00,,,402270,,53.03,7.75,0.0
