id,meter_point_key,park_key,park_type,Round_Month(markets_at),contract_at,Round_Month(expires_at),power,ownconsumption,latitude,longitude,contract_type
1751,"ZP_ID_1770","50H_SO_Stäbelow","solar",2022-07-01T00:00:00,"2022-05-30 02:00:00",,320320,,54.064299,12.0630941,"online"
862,"ZP_ID_1111","50H_SO_Südharz","solar",2020-11-01T00:00:00,"2020-09-02 02:00:00",,622110,,51.4977956,11.0464747,"online"
1740,"ZP_ID_1795","50H_SO_Südharz_02","solar",2022-09-01T00:00:00,"2022-07-21 02:00:00",,182780,,51.4974701,10.9599316,"online"
1821,"ZP_ID_1830","50H_SO_Tangermünde","solar",2022-10-01T00:00:00,"2022-10-01 02:00:00",,165360,,52.4858061,11.9450836,"online"
280,"ZP_ID_0757","50H_SO_Taucha_01","solar",2018-06-01T00:00:00,"2018-06-21 02:00:00",,29975,,51.3834662,12.52161025,"online"
281,"ZP_ID_0530","50H_SO_Taucha_02","solar",2018-06-01T00:00:00,"2018-06-21 02:00:00",,565400,,51.38368,12.52049,"online"
998,"ZP_ID_1197","50H_SO_Tessin_DE029050","solar",2021-01-01T00:00:00,"2018-08-30 02:00:00",,160600,0.7,54.0309393,12.4471998,"online_special"
964,"ZP_ID_1224","50H_SO_Teuchern","solar",2021-04-01T00:00:00,"2021-01-21 01:00:00",,749830,,51.1381,12.0023,"online"
1046,"ZP_ID_1226","50H_SO_Teuchern_02","solar",2021-03-01T00:00:00,"2021-01-27 01:00:00",,1779560,,51.1402,12.001,"default"
1959,"ZP_ID_1928","50H_SO_Teuchern_03","solar",2023-03-01T00:00:00,,,2228400,,51.113305,12.089642,"default"
1960,"ZP_ID_1929","50H_SO_Teuchern_04","solar",2023-03-01T00:00:00,,,2260800,,51.113305,12.089642,"default"
1961,"ZP_ID_1930","50H_SO_Teuchern_05","solar",2023-03-01T00:00:00,,,2066400,,51.113305,12.089642,"default"
1962,"ZP_ID_1931","50H_SO_Teuchern_06","solar",2023-03-01T00:00:00,,,2002950,,51.113305,12.089642,"default"
1963,"ZP_ID_1932","50H_SO_Teuchern_07","solar",2023-03-01T00:00:00,,,2096550,,51.113305,12.089642,"default"
801,"ZP_ID_0168","50H_SO_Teutschenthal","solar",2015-03-01T00:00:00,"2015-03-01 01:00:00",,930240,,51.46390278,11.814,"default"
1512,"ZP_ID_1610","50H_SO_Thale","solar",2022-02-01T00:00:00,"2021-12-15 01:00:00",,744800,,51.700706,10.944911,"online"
1638,"ZP_ID_1680","50H_SO_Thale_(RD)","solar",2022-03-01T00:00:00,,,2090000,,51.75664395,11.09308195,"redispatch_only"
1651,"ZP_ID_1817","50H_SO_Thale_01_(RD)","solar",2022-08-01T00:00:00,,,110000,,51.75664395,11.09308195,"redispatch_only"
1511,"ZP_ID_1611","50H_SO_Thale_02","solar",2022-02-01T00:00:00,"2021-12-15 01:00:00",,150000,,51.7549469,11.0900554,"online"
1808,"ZP_ID_1835","50H_SO_Thale_03","solar",2022-10-01T00:00:00,,,99830,,51.6758531,10.9700681,"online"
1807,"ZP_ID_1836","50H_SO_Thale_04","solar",2022-10-01T00:00:00,,,98800,,51.6758531,10.9700681,"online"
282,"ZP_ID_1103","50H_SO_Thalheim","solar",2020-10-01T00:00:00,"2020-08-27 02:00:00",,240000,,50.7049333,12.8424893,"online"
283,"VZP_ID_144","50H_SO_Urbach-Menteroda_01","solar",2020-01-01T00:00:00,"2018-06-19 02:00:00",,374830,,48.7949893,9.600543999999999,"online"
284,"VZP_ID_145","50H_SO_Urbach-Menteroda_02","solar",2020-01-01T00:00:00,"2018-06-19 02:00:00",,374830,,51.296064,10.6027661,"online"
285,"VZP_ID_179","50H_SO_Urbach-Menteroda_03","solar",2020-01-01T00:00:00,"2018-11-16 01:00:00",,177100,,51.296064,10.6027661,"online"
1951,"ZP_ID_1926","50H_SO_Vetschau","solar",2023-03-01T00:00:00,"2023-03-01 01:00:00",,357960,0.8,51.7869557,14.0788703,"online"
288,"ZP_ID_0791","50H_SO_Vierlinden","solar",2019-12-01T00:00:00,"2019-02-05 01:00:00",,299000,,52.4912375,14.2819682,"online"
289,"ZP_ID_0389","50H_SO_Vorbeck","solar",2017-05-01T00:00:00,"2017-03-16 01:00:00",,143350,,53.917492,12.081985,"online"
290,"ZP_ID_0692","50H_SO_Wallstawe","solar",2018-12-01T00:00:00,"2018-10-18 02:00:00",,744990,,52.7963266,11.0274154,"online_no_login"
291,"ZP_ID_0693","50H_SO_Wallstawe-Ellenberg","solar",2018-12-01T00:00:00,"2018-10-18 02:00:00",,585800,,52.7997161,10.9690204,"online_no_login"
292,"ZP_ID_0753","50H_SO_Waltershausen _DE031017","solar",2019-04-01T00:00:00,"2018-08-30 02:00:00",,156060,0.7,50.9012499,10.5626325,"online_special"
293,"ZP_ID_0308","50H_SO_Wanzleben-Börde","solar",2016-08-01T00:00:00,"2016-08-01 02:00:00",,644800,,52.104975,11.49438056,"online"
294,"VZP_ID_188","50H_SO_Wanzleben-Dreileben_01","solar",2019-04-01T00:00:00,"2018-10-18 02:00:00",,749840,,52.1065967,11.2852425,"online_no_login"
295,"VZP_ID_189","50H_SO_Wanzleben-Dreileben_02","solar",2020-04-01T00:00:00,"2020-02-06 01:00:00",,280560,,52.106597,11.285243,"online_no_login"
684,"ZP_ID_0985","TEN_SO_Neukirchen_DE010077","solar",2020-02-01T00:00:00,"2018-08-30 02:00:00",,151800,0.7,50.8712808,9.341549499999999,"online_special"
1018,"ZP_ID_1174","TEN_SO_Neumünster_DE004052","solar",2020-12-01T00:00:00,"2018-08-30 02:00:00",,183520,0.7,54.09917,9.978859999999999,"online_special"
686,"ZP_ID_0968","TEN_SO_Neustadt am Rübenberge_DE006072","solar",2020-01-01T00:00:00,"2018-08-30 02:00:00",,198450,0.7,52.58217,9.586869999999999,"online_special"
687,"ZP_ID_0583","TEN_SO_Neustadt am Rübenberge_DE018074","solar",2018-10-01T00:00:00,"2018-08-30 02:00:00",,124800,0.7,52.512937,9.4520423,"online_special"
935,"ZP_ID_1150","TEN_SO_Neustadt in Holstein","solar",2021-03-01T00:00:00,"2020-10-28 01:00:00",,135360,0.5,54.0945398,10.7894868,"online"
1785,"ZP_ID_1800","TEN_SO_Neustadt_DE033058","solar",2022-09-01T00:00:00,"2018-10-01 02:00:00",,207000,0.7,54.104208,10.8332147,"online_special"
685,"ZP_ID_0508","TEN_SO_Neuötting","solar",2018-05-01T00:00:00,"2018-03-13 01:00:00",,216000,,48.243355,12.707056,"online"
1255,"ZP_ID_1403","TEN_SO_Nidda_(RD)","solar",2021-10-01T00:00:00,,,276950,,50.4298158,8.979373600000001,"redispatch_only"
1666,"ZP_ID_1732","TEN_SO_Nienburg_DE007031_(RD)","solar",2022-03-01T00:00:00,,,104550,,52.6599142,9.2203137,"redispatch_only_special"
688,"ZP_ID_1022","TEN_SO_Nienburg_DE007104","solar",2020-05-01T00:00:00,"2018-08-30 02:00:00",,288750,0.7,52.6346106,9.2233643,"online_special"
1137,"ZP_ID_1305","TEN_SO_Norden_(RD)","solar",2021-10-01T00:00:00,,,491280,,53.5699603,7.227896,"redispatch_only"
689,"ZP_ID_0608","TEN_SO_Nordstemmen_DE014067","solar",2018-10-01T00:00:00,"2018-08-30 02:00:00",,128800,0.7,52.155479,9.790015500000001,"online_special"
936,"ZP_ID_1117","TEN_SO_Nortorf_DE004000","solar",2020-10-01T00:00:00,"2018-10-01 02:00:00",,741840,0.7,54.157262,9.853178,"online_special"
1379,"ZP_ID_1476","TEN_SO_Nürnberg_(RD)","solar",2021-10-01T00:00:00,,,273540,,49.4729625,11.07727975,"redispatch_only"
1279,"ZP_ID_1419","TEN_SO_Obernburg_(RD)","solar",2021-10-01T00:00:00,,,156060,,49.85461937,9.12150939,"redispatch_only"
690,"ZP_ID_0833","TEN_SO_Obernkirchen_02","solar",2019-06-01T00:00:00,"2019-04-03 02:00:00",,288550,0.3,52.2812612,9.136574599999999,"online"
1071,"ZP_ID_1250","TEN_SO_Obernkirchen_03","solar",2021-05-01T00:00:00,"2021-03-26 01:00:00",,180230,0.5,52.2697621,9.134184899999999,"online"
691,"ZP_ID_0758","TEN_SO_Oerlenbach-Rottershausen","solar",2019-04-01T00:00:00,"2019-12-29 01:00:00",,499770,,50.167272,10.156398,"online"
1019,"ZP_ID_1183","TEN_SO_Oerlinghausen_DE005081","solar",2021-01-01T00:00:00,"2018-08-30 02:00:00",,170180,0.7,51.9476067,8.6574747,"online_special"
692,"ZP_ID_1007","TEN_SO_Oldenburg in Holstein_DE033066","solar",2020-04-01T00:00:00,"2018-08-30 02:00:00",,169260,0.7,54.290413,10.890368,"online_special"
694,"ZP_ID_1017","TEN_SO_Oldenburg_DE015067","solar",2020-04-01T00:00:00,"2018-08-30 02:00:00",,176900,0.7,53.1826931,8.2304496,"online_special"
1817,"ZP_ID_1822","TEN_SO_Osterhofen","solar",2022-10-01T00:00:00,,,131000,,48.6723242,13.0172806,"online"
1707,"ZP_ID_1743","TEN_SO_Osterrönfeld_DE004092_(RD)","solar",2022-03-01T00:00:00,,,113880,,54.2953466,9.705975029999999,"redispatch_only_special"
1794,"ZP_ID_1794","TEN_SO_Ostrhauderfehn_(RD)","solar",2022-07-01T00:00:00,,,194400,,53.13359225,7.60193626,"redispatch_only"
695,"ZP_ID_0599","TEN_SO_Oststeinbek_DE016032","solar",2018-10-01T00:00:00,"2018-08-30 02:00:00",,157360,0.7,53.550113,10.1548706,"online_special"
696,"ZP_ID_0844","TEN_SO_Otterndorf _DE007061","solar",2019-07-01T00:00:00,"2018-08-30 02:00:00",,181500,0.7,53.867105,8.668213,"online_special"
697,"ZP_ID_1042","TEN_SO_Ottersberg_DE007052","solar",2020-06-01T00:00:00,"2018-08-30 02:00:00",,130200,0.7,53.1134016,9.141159,"online_special"
1254,"ZP_ID_1384","TEN_SO_Pfaffenhofen","solar",2021-10-01T00:00:00,"2021-08-26 02:00:00",,206000,0.9,48.5248181,11.4989425,"online"
698,"ZP_ID_0891","TEN_SO_Pinneberg_DE004043","solar",2019-11-01T00:00:00,"2018-08-30 02:00:00",,164450,0.7,53.6467675,9.8163277,"online_special"
1708,"ZP_ID_1745","TEN_SO_Pinneberg_DE004115_(RD)","solar",2022-03-01T00:00:00,,,102440,,53.6466664,9.7718545,"redispatch_only_special"
700,"ZP_ID_0580","TEN_SO_Plön_DE033044","solar",2018-10-01T00:00:00,"2018-08-30 02:00:00",,112000,0.7,54.161675,10.4262372,"online_special"
701,"ZP_ID_0558","TEN_SO_Porta Westfalica","solar",2018-12-01T00:00:00,"2018-08-22 02:00:00",,307200,,52.2217266,8.857531,"online"
702,"ZP_ID_1038","TEN_SO_Rabenau-Londorf_DE010091","solar",2020-06-01T00:00:00,"2018-08-30 02:00:00",,148500,0.7,50.67929955,8.848907759999999,"online_special"
703,"ZP_ID_0814","TEN_SO_Rastede_DE015032","solar",2019-05-01T00:00:00,"2018-08-30 02:00:00",,133920,0.7,53.2467856,8.18683315,"online_special"
704,"ZP_ID_0664","TEN_SO_Ratzeburg_DE016037","solar",2018-10-01T00:00:00,"2018-08-30 02:00:00",,144720,0.7,53.690337,10.7988298,"online_special"
705,"ZP_ID_0566","TEN_SO_Rehburg-Loccum_DE018056","solar",2018-10-01T00:00:00,"2018-08-30 02:00:00",,138320,0.7,52.455749,9.1516059,"online_special"
1996,"ZP_ID_1948","TEN_SO_Rendsburg","solar",2023-05-01T00:00:00,"2023-05-01 02:00:00",,134750,0.8,54.3121654,9.6459484,"online"
1410,"ZP_ID_1509","TEN_SO_Rhauderfehn_(RD)","solar",2021-10-01T00:00:00,,,227160,,53.14453985,7.55920359,"redispatch_only"
706,"ZP_ID_0670","TEN_SO_Rhauderfehn_DE015031","solar",2018-11-01T00:00:00,"2018-08-30 02:00:00",,116100,0.7,53.13709295,7.56982939,"online_special"
2003,"ZP_ID_1957","TEN_SO_Rinteln","solar",2023-04-01T00:00:00,"2023-04-01 02:00:00",,501000,0.6,52.16217735,9.07218554,"online"
707,"ZP_ID_0606","TEN_SO_Ritterhude_DE007076","solar",2018-10-01T00:00:00,"2018-08-30 02:00:00",,103040,0.7,53.182913,8.7566705,"online_special"
1158,"ZP_ID_1319","TEN_SO_Rosbach_01_(RD)","solar",2021-10-01T00:00:00,,,214500,,50.2681096,8.689340700000001,"redispatch_only"
